rho,betak1,wbetak1,Lk1,wLk1,gammak1,wgammak1,betak2,wbetak2,Lk2,wLk2,gammak2,wgammak2,psii1,wpsii1,Li1,wLi1,gammai1,wgammai1,psii2,wpsii2,Li2,wLi2,gammai2,wgammai2,psii3,wpsii3,Li3,wLi3,gammai3,wgammai3,psii4,wpsii4,Li4,wLi4,gammai4,wgammai4,psii5,wpsii5,Li5,wLi5,gammai5,wgammai5,psii6,wpsii6,Li6,wLi6,gammai6,wgammai6,psii7,wpsii7,Li7,wLi7,gammai7,wgammai7,psii8,wpsii8,Li8,wLi8,gammai8,wgammai8,psii9,wpsii9,Li9,wLi9,gammai9,wgammai9,psii10,wpsii10,Li10,wLi10,gammai10,wgammai10,beta,wbeta,eta,weta,L,wL,gamma,wgamma
2.000000e-01,0.000000e+00,0.000000e+00,4.532119e-01,4.672559e-05,8.826135e-01,9.120186e-05,0.000000e+00,0.000000e+00,1.974735e+00,1.456549e-04,8.102465e-01,5.972268e-05,8.683129e-01,1.054555e-05,1.481924e-01,2.224310e-05,8.886606e-01,1.163099e-04,8.681666e-01,1.025219e-05,1.490725e-01,2.171308e-05,8.843941e-01,1.148175e-04,8.680974e-01,1.044943e-05,1.494472e-01,2.455263e-05,8.826491e-01,1.229565e-04,7.701270e-01,1.123051e-05,2.836823e-01,2.918023e-05,8.103384e-01,8.548268e-05,7.703884e-01,1.086690e-05,2.833263e-01,4.407157e-05,8.104611e-01,1.231299e-04,7.704617e-01,1.369804e-05,2.833898e-01,4.512473e-05,8.100156e-01,1.100399e-04,7.706792e-01,1.259881e-05,2.830874e-01,3.489866e-05,8.100957e-01,8.728900e-05,7.706391e-01,1.149304e-05,2.829095e-01,3.439284e-05,8.107486e-01,9.457376e-05,7.704449e-01,1.145127e-05,2.832538e-01,4.158449e-05,8.104583e-01,1.012063e-04,7.707288e-01,1.213218e-05,2.815860e-01,2.930176e-05,8.142331e-01,8.408795e-05,0.000000e+00,0.000000e+00,2.001954e-01,7.062987e-06,2.427947e+00,1.536951e-04,8.237496e-01,5.209363e-05
4.000000e-01,0.000000e+00,0.000000e+00,1.036726e+00,1.248887e-04,7.716885e-01,9.286173e-05,0.000000e+00,0.000000e+00,5.036100e+00,2.759169e-04,6.354173e-01,3.484492e-05,7.357818e-01,2.344741e-05,3.406434e-01,5.398732e-05,7.756734e-01,8.363856e-05,7.358890e-01,2.064144e-05,3.399361e-01,6.499934e-05,7.770013e-01,1.295068e-04,7.354313e-01,2.513399e-05,3.405245e-01,5.274563e-05,7.769797e-01,1.101845e-04,5.398902e-01,3.063734e-05,7.221726e-01,8.575013e-05,6.371388e-01,7.696292e-05,5.401138e-01,2.172944e-05,7.225704e-01,7.636855e-05,6.364739e-01,6.213238e-05,5.406870e-01,2.561055e-05,7.219824e-01,9.040107e-05,6.362064e-01,8.037150e-05,5.405359e-01,2.863369e-05,7.226998e-01,1.006535e-04,6.357852e-01,7.634566e-05,5.405329e-01,2.140594e-05,7.217798e-01,1.179579e-04,6.366126e-01,9.243622e-05,5.405578e-01,2.736793e-05,7.210500e-01,9.358295e-05,6.372042e-01,6.424484e-05,5.406761e-01,2.183118e-05,7.194672e-01,7.816245e-05,6.384379e-01,6.215291e-05,0.000000e+00,0.000000e+00,4.009904e-01,1.443859e-05,6.072826e+00,3.457449e-04,6.586774e-01,3.751114e-05
6.000000e-01,0.000000e+00,0.000000e+00,1.797135e+00,2.402748e-04,6.677602e-01,8.898742e-05,3.324507e-06,1.013616e-07,1.014516e+01,1.278911e-03,4.731499e-01,5.939478e-05,6.026916e-01,3.110408e-05,5.896497e-01,8.673517e-05,6.738292e-01,7.835047e-05,6.030879e-01,3.811296e-05,5.909241e-01,1.361350e-04,6.717439e-01,1.159446e-04,6.033049e-01,3.506552e-05,5.906363e-01,9.954523e-05,6.716775e-01,1.006290e-04,3.102155e-01,4.057679e-05,1.454901e+00,2.218223e-04,4.741338e-01,6.321625e-05,3.112728e-01,4.661985e-05,1.452827e+00,2.626254e-04,4.740876e-01,6.242382e-05,3.118097e-01,4.056902e-05,1.451055e+00,2.166475e-04,4.742908e-01,6.171701e-05,3.124875e-01,5.137113e-05,1.454952e+00,2.006696e-04,4.725477e-01,4.978885e-05,3.111766e-01,3.934628e-05,1.451809e+00,2.413239e-04,4.744828e-01,5.854924e-05,3.106124e-01,4.828031e-05,1.454878e+00,2.386792e-04,4.738692e-01,6.153776e-05,3.114313e-01,5.029562e-05,1.450658e+00,2.122748e-04,4.746760e-01,4.963641e-05,2.659606e-06,8.108932e-08,6.011910e-01,2.675821e-05,1.194229e+01,1.279915e-03,5.024296e-01,5.365450e-05
8.000000e-01,3.976262e-07,5.482915e-08,2.821362e+00,4.376327e-04,5.671369e-01,8.796774e-05,8.238207e-03,1.183330e-05,2.168374e+01,3.050815e-03,2.927360e-01,4.267906e-05,4.694661e-01,3.011077e-05,9.287636e-01,1.917058e-04,5.712766e-01,9.790725e-05,4.680572e-01,4.393226e-05,9.332619e-01,1.926660e-04,5.700291e-01,9.472577e-05,4.685060e-01,3.681106e-05,9.333236e-01,1.759444e-04,5.695042e-01,8.859141e-05,9.117097e-02,3.692445e-05,3.100456e+00,4.298837e-04,2.931384e-01,3.106667e-05,9.075272e-02,4.036508e-05,3.097417e+00,4.604060e-04,2.935632e-01,3.512644e-05,9.156006e-02,3.868494e-05,3.096673e+00,4.868048e-04,2.933752e-01,3.851490e-05,9.109794e-02,5.255058e-05,3.101219e+00,4.883903e-04,2.930920e-01,3.343583e-05,9.044717e-02,3.563658e-05,3.102625e+00,4.407872e-04,2.931701e-01,4.028383e-05,9.038291e-02,3.907770e-05,3.103156e+00,4.519649e-04,2.931390e-01,3.439716e-05,9.018956e-02,3.784549e-05,3.108206e+00,4.498472e-04,2.927248e-01,3.429969e-05,6.590645e-03,9.465198e-06,7.958369e-01,2.328120e-05,2.450510e+01,3.084186e-03,3.243246e-01,4.199110e-05
1.000000e+00,1.853192e-04,1.163387e-06,4.334822e+00,7.506924e-04,4.613300e-01,7.961868e-05,1.308725e-01,3.382867e-05,3.589952e+01,1.409545e-03,1.936813e-01,1.364669e-05,3.338899e-01,6.248370e-05,1.436491e+00,2.814129e-04,4.637370e-01,6.880826e-05,3.337043e-01,5.343149e-05,1.438960e+00,2.836347e-04,4.630740e-01,7.342198e-05,3.335164e-01,5.057381e-05,1.437380e+00,2.597619e-04,4.637091e-01,7.012547e-05,4.934066e-03,9.899562e-06,5.127563e+00,1.978221e-04,1.940628e-01,6.416812e-06,5.027123e-03,8.029201e-06,5.125994e+00,2.127149e-04,1.941042e-01,7.323451e-06,5.008610e-03,1.002686e-05,5.128397e+00,2.023258e-04,1.940167e-01,6.462401e-06,4.854115e-03,9.221408e-06,5.132660e+00,1.979413e-04,1.938857e-01,6.935386e-06,4.871045e-03,7.958367e-06,5.134619e+00,2.061273e-04,1.938085e-01,7.120221e-06,4.974604e-03,9.623832e-06,5.135477e+00,2.194915e-04,1.937560e-01,7.211217e-06,4.802928e-03,9.391844e-06,5.136796e+00,2.362116e-04,1.937398e-01,7.892725e-06,1.047351e-01,2.694330e-05,8.964417e-01,1.493114e-05,4.023434e+01,1.658357e-03,2.225141e-01,1.425543e-05
1.200000e+00,3.562950e-03,6.128930e-06,6.652956e+00,1.539835e-03,3.595066e-01,8.388149e-05,2.746216e-01,3.074244e-05,3.930219e+01,5.994865e-04,1.771821e-01,9.868330e-06,2.056022e-01,6.112944e-05,2.187860e+00,5.216784e-04,3.631333e-01,6.698875e-05,2.052395e-01,5.237099e-05,2.186007e+00,5.123195e-04,3.636060e-01,6.537466e-05,2.062911e-01,6.547780e-05,2.186777e+00,4.789772e-04,3.629893e-01,5.781597e-05,2.424656e-04,2.223528e-06,5.626731e+00,8.203722e-05,1.776801e-01,2.532734e-06,2.850885e-04,1.507560e-06,5.624393e+00,8.730166e-05,1.777464e-01,2.763119e-06,2.718866e-04,1.645354e-06,5.626039e+00,8.567569e-05,1.776967e-01,2.545408e-06,2.594136e-04,2.073331e-06,5.628282e+00,9.300222e-05,1.776281e-01,2.832867e-06,2.475655e-04,1.141556e-06,5.628999e+00,8.499031e-05,1.776076e-01,2.654147e-06,3.040688e-04,1.407987e-06,5.629193e+00,8.871538e-05,1.775914e-01,2.765171e-06,2.516311e-04,1.753647e-06,5.630865e+00,9.886619e-05,1.775481e-01,2.965928e-06,2.204099e-01,2.448257e-05,9.381005e-01,1.525265e-05,4.595515e+01,1.563538e-03,2.035707e-01,1.108411e-05
1.400000e+00,2.098461e-02,1.529822e-05,9.803112e+00,1.384101e-03,2.796450e-01,4.176033e-05,3.821752e-01,3.222244e-05,4.005243e+01,3.523376e-04,1.727646e-01,9.971766e-06,1.031764e-01,5.380626e-05,3.152714e+00,4.515708e-04,2.844721e-01,3.362100e-05,1.029426e-01,5.292220e-05,3.153477e+00,4.527077e-04,2.844772e-01,3.248276e-05,1.038125e-01,5.400497e-05,3.151118e+00,4.323542e-04,2.844130e-01,3.098987e-05,4.364221e-05,6.166258e-07,5.770602e+00,4.662770e-05,1.732846e-01,1.399095e-06,2.901650e-05,5.294357e-07,5.770416e+00,5.740344e-05,1.732928e-01,1.706403e-06,3.753222e-05,7.131074e-07,5.770370e+00,4.602808e-05,1.732926e-01,1.397715e-06,2.931872e-05,3.925234e-07,5.772312e+00,3.458217e-05,1.732358e-01,1.016382e-06,2.709316e-05,5.676208e-07,5.770905e+00,3.626451e-05,1.732784e-01,1.099739e-06,2.902666e-05,4.036629e-07,5.771322e+00,4.422142e-05,1.732655e-01,1.303521e-06,3.297448e-05,6.960850e-07,5.772305e+00,4.151663e-05,1.732353e-01,1.264024e-06,3.099371e-01,2.681307e-05,9.689840e-01,1.295897e-05,4.985554e+01,1.310079e-03,1.937780e-01,1.077602e-05
1.600000e+00,6.278684e-02,2.901604e-05,1.296532e+01,1.163129e-03,2.313218e-01,2.704018e-05,4.652779e-01,1.958397e-05,4.007972e+01,2.185514e-04,1.707708e-01,6.529112e-06,4.230829e-02,2.453939e-05,4.060213e+00,3.783895e-04,2.358768e-01,1.945478e-05,4.316231e-02,3.590367e-05,4.062063e+00,4.183695e-04,2.355594e-01,1.902530e-05,4.293720e-02,2.813913e-05,4.059236e+00,3.403245e-04,2.357778e-01,1.822651e-05,2.369887e-06,1.378616e-07,5.838573e+00,2.390193e-05,1.712743e-01,6.985637e-07,5.903532e-06,1.776407e-07,5.838348e+00,2.371114e-05,1.712803e-01,6.923218e-07,4.915496e-06,1.677138e-07,5.838286e+00,2.083747e-05,1.712823e-01,6.022282e-07,3.949710e-06,1.556098e-07,5.838899e+00,2.364637e-05,1.712645e-01,6.952611e-07,8.501000e-06,2.820991e-07,5.836047e+00,2.552552e-05,1.713474e-01,7.494415e-07,5.910095e-06,2.157815e-07,5.836718e+00,2.177426e-05,1.713281e-01,6.423120e-07,5.730469e-06,2.152730e-07,5.836657e+00,2.493090e-05,1.713300e-01,7.338153e-07,3.847797e-01,1.882719e-05,9.871555e-01,6.783353e-06,5.304504e+01,1.119564e-03,1.855695e-01,7.932765e-06
1.800000e+00,1.218993e-01,4.082090e-05,1.536684e+01,1.653231e-03,2.057214e-01,3.028626e-05,5.300338e-01,1.692148e-05,3.983328e+01,5.432911e-04,1.698961e-01,6.526196e-06,1.638107e-02,1.735126e-05,4.692062e+00,4.015504e-04,2.096380e-01,1.521641e-05,1.649446e-02,2.223950e-05,4.691698e+00,4.429513e-04,2.096306e-01,1.622264e-05,1.655324e-02,2.173129e-05,4.691123e+00,3.871894e-04,2.096429e-01,1.421819e-05,0.000000e+00,0.000000e+00,5.876536e+00,1.601567e-05,1.701683e-01,4.637363e-07,2.787328e-06,1.360861e-07,5.876742e+00,1.908536e-05,1.701618e-01,5.562049e-07,1.787366e-06,1.119590e-07,5.877004e+00,1.775994e-05,1.701544e-01,5.169895e-07,0.000000e+00,0.000000e+00,5.877244e+00,2.491702e-05,1.701478e-01,7.213483e-07,0.000000e+00,0.000000e+00,5.872609e+00,1.742506e-05,1.702821e-01,5.052634e-07,2.980616e-06,1.397685e-07,5.872423e+00,1.624632e-05,1.702870e-01,4.701154e-07,9.858239e-07,8.464759e-08,5.872676e+00,1.296322e-05,1.702799e-01,3.742935e-07,4.484069e-01,1.766330e-05,9.950563e-01,4.756816e-06,5.520012e+01,1.227373e-03,1.798673e-01,8.459379e-06
2.000000e+00,1.824150e-01,3.070686e-05,1.691629e+01,8.962913e-04,1.933265e-01,1.399646e-05,5.812868e-01,1.443195e-05,3.957261e+01,4.226379e-04,1.692942e-01,6.162226e-06,6.368970e-03,9.212453e-06,5.067925e+00,2.307527e-04,1.960636e-01,7.932711e-06,6.340475e-03,1.082038e-05,5.064520e+00,2.244616e-04,1.962009e-01,7.053719e-06,6.598495e-03,1.055150e-05,5.064195e+00,2.234336e-04,1.961626e-01,7.467633e-06,0.000000e+00,0.000000e+00,5.901222e+00,1.752043e-05,1.694564e-01,5.030768e-07,0.000000e+00,0.000000e+00,5.901037e+00,1.322795e-05,1.694617e-01,3.798700e-07,0.000000e+00,0.000000e+00,5.901266e+00,1.663343e-05,1.694552e-01,4.775909e-07,8.033903e-07,7.753016e-08,5.901385e+00,1.252673e-05,1.694516e-01,3.631260e-07,0.000000e+00,0.000000e+00,5.895810e+00,1.137938e-05,1.696120e-01,3.273673e-07,0.000000e+00,0.000000e+00,5.895837e+00,1.625214e-05,1.696112e-01,4.675254e-07,0.000000e+00,0.000000e+00,5.895701e+00,1.181172e-05,1.696151e-01,3.398467e-07,5.015125e-01,1.463185e-05,9.980691e-01,2.506586e-06,5.648890e+01,6.168363e-04,1.764905e-01,5.813101e-06
2.200000e+00,2.400106e-01,2.280523e-05,1.798085e+01,7.128379e-04,1.859740e-01,1.054892e-05,6.223650e-01,1.138504e-05,3.931159e+01,5.305685e-04,1.690693e-01,6.101397e-06,2.795725e-03,8.263378e-06,5.296351e+00,1.582424e-04,1.882818e-01,5.336119e-06,2.826794e-03,7.269650e-06,5.295186e+00,1.483148e-04,1.883173e-01,4.628525e-06,2.875418e-03,7.334690e-06,5.295351e+00,1.435328e-04,1.883022e-01,4.767684e-06,0.000000e+00,0.000000e+00,5.917857e+00,9.608003e-06,1.689801e-01,2.743586e-07,1.995835e-06,1.179472e-07,5.917568e+00,1.142989e-05,1.689880e-01,3.238447e-07,0.000000e+00,0.000000e+00,5.917858e+00,8.375884e-06,1.689801e-01,2.391629e-07,0.000000e+00,0.000000e+00,5.917699e+00,1.114300e-05,1.689846e-01,3.182050e-07,0.000000e+00,0.000000e+00,5.911676e+00,9.535846e-06,1.691568e-01,2.728538e-07,0.000000e+00,0.000000e+00,5.911409e+00,1.275894e-05,1.691644e-01,3.651179e-07,0.000000e+00,0.000000e+00,5.911484e+00,8.520101e-06,1.691623e-01,2.438043e-07,5.458941e-01,9.836356e-06,9.991500e-01,1.853054e-06,5.729244e+01,4.314618e-04,1.743743e-01,4.183145e-06
2.400000e+00,2.915546e-01,3.225984e-05,1.869871e+01,7.347670e-04,1.818606e-01,1.301643e-05,6.558655e-01,1.217144e-05,3.910622e+01,5.364065e-04,1.689598e-01,5.460303e-06,1.263732e-03,4.080098e-06,5.441756e+00,1.094347e-04,1.835322e-01,3.496653e-06,1.355780e-03,4.448663e-06,5.439346e+00,1.193045e-04,1.835966e-01,3.882912e-06,1.286892e-03,6.418274e-06,5.438451e+00,1.046949e-04,1.836394e-01,3.176993e-06,7.988018e-07,7.708735e-08,5.929393e+00,9.083541e-06,1.686512e-01,2.550724e-07,0.000000e+00,0.000000e+00,5.929119e+00,8.007375e-06,1.686591e-01,2.277820e-07,0.000000e+00,0.000000e+00,5.929255e+00,8.191901e-06,1.686552e-01,2.330264e-07,0.000000e+00,0.000000e+00,5.929177e+00,6.505109e-06,1.686575e-01,1.850324e-07,0.000000e+00,0.000000e+00,5.922958e+00,1.112718e-05,1.688346e-01,3.171860e-07,0.000000e+00,0.000000e+00,5.922833e+00,9.947494e-06,1.688381e-01,2.835584e-07,0.000000e+00,0.000000e+00,5.922643e+00,6.866196e-06,1.688435e-01,1.957427e-07,5.830034e-01,1.176936e-05,9.996093e-01,8.617088e-07,5.780493e+01,2.985926e-04,1.731327e-01,5.287309e-06
